customer_id,customer_name,city,signup_date,segment,sales,orders,support_tickets
C0001,Customer 0001,Chennai,2026-03-08,Regular,22495.9,6,1.0
C0002,Customer 0002,Hyderabad,2024-09-29,Regular,36662.05,11,1.0
C0003,Customer 0003,Kolkata,2024-03-02,Regular,22815.3,5,1.0
C0004,Customer 0004,Pune,2025-08-18,Regular,19937.0,6,3.0
C0005,Customer 0005,Chennai,2025-12-29,Regular,27280.699999999997,4,4.0
C0006,Customer 0006,Ahmedabad,2024-12-07,Regular,31553.25,6,1.0
C0007,Customer 0007,Bengaluru,2025-01-31,Regular,61252.4,9,2.0
C0008,Customer 0008,Chennai,2025-11-29,Regular,33062.0,6,3.0
C0009,Customer 0009,Kolkata,2024-01-19,Regular,42316.4,9,0.0
C0010,Customer 0010,Pune,2024-06-25,Regular,78682.09999999999,10,0.0
C0011,Customer 0011,Hyderabad,2025-09-03,Regular,46893.65,9,1.0
C0012,Customer 0012,Kolkata,2025-01-30,Regular,64743.549999999996,11,4.0
C0013,Customer 0013,Kolkata,2025-03-20,New,28281.5,8,3.0
C0014,Customer 0014,Bengaluru,2024-08-20,Regular,25349.0,6,0.0
C0015,Customer 0015,Noida,2024-03-16,Premium,44717.24999999999,5,1.0
C0016,Customer 0016,Pune,2024-09-21,Regular,59603.5,13,1.0
C0017,Customer 0017,Mumbai,2025-03-30,Premium,59323.55,9,1.0
C0018,Customer 0018,Kolkata,2026-03-06,Premium,48563.8,11,2.0
C0019,Customer 0019,Noida,2025-12-18,Regular,50695.05,9,3.0
C0020,Customer 0020,Mumbai,2026-01-04,Regular,34652.5,7,3.0
C0021,Customer 0021,Pune,2025-01-18,Regular,31915.7,7,2.0
C0022,Customer 0022,Delhi,2025-07-17,Regular,39635.6,10,1.0
C0023,Customer 0023,Ahmedabad,2025-05-20,New,23376.5,7,4.0
C0024,Customer 0024,Noida,2025-01-01,New,44597.9,10,0.0
C0025,Customer 0025,Jaipur,2024-05-23,New,50273.95,9,3.0
C0026,Customer 0026,Delhi,2024-03-09,Regular,84069.0,15,2.0
C0027,Customer 0027,Ahmedabad,2024-04-08,Premium,87831.6,6,1.0
C0028,Customer 0028,Bengaluru,2025-01-30,New,20284.75,5,4.0
C0029,Customer 0029,Chennai,2024-01-25,Regular,48730.55,12,2.0
C0030,Customer 0030,Hyderabad,2025-04-13,Regular,6680.549999999999,4,3.0
C0031,Customer 0031,Jaipur,2025-04-28,Premium,101796.6,9,5.0
C0032,Customer 0032,Bengaluru,2025-07-18,Regular,36647.2,7,2.0
C0033,Customer 0033,Pune,2024-05-30,New,45470.4,3,2.0
C0034,Customer 0034,Bengaluru,2024-05-23,Regular,45216.2,9,0.0
C0035,Customer 0035,Chennai,2025-07-22,Premium,30542.5,8,3.0
C0036,Customer 0036,Pune,2024-02-08,Regular,15271.0,4,5.0
C0037,Customer 0037,Jaipur,2024-04-18,Regular,17988.15,6,2.0
C0038,Customer 0038,Chennai,2025-11-23,Regular,12828.15,5,3.0
