product_id,sales,product_name,category
P006,7390428.75,Office Chair,Furniture
P005,2623725.15,Mechanical Keyboard,Accessories
P001,1989079.05,Smart Watch,Electronics
P010,1798622.6500000001,Bluetooth Speaker,Electronics
P008,1487156.05,Backpack,Lifestyle
P009,1387748.6,Fitness Band,Electronics
P004,1183659.75,Laptop Stand,Accessories
P007,1025117.25,Desk Lamp,Furniture
P002,910339.2,Wireless Earbuds,Electronics
P003,821777.4,Power Bank,Electronics
P011,608438.5,Water Bottle,Lifestyle
P012,485459.55,Phone Holder,Accessories
