customer_id,customer_name,city,signup_date,segment
C0001,Customer 0001,Chennai,2026-03-08,Regular
C0002,Customer 0002,Hyderabad,2024-09-29,Regular
C0003,Customer 0003,Kolkata,2024-03-02,Regular
C0004,Customer 0004,Pune,2025-08-18,Regular
C0005,Customer 0005,Chennai,2025-12-29,Regular
C0006,Customer 0006,Ahmedabad,2024-12-07,Regular
C0007,Customer 0007,Bengaluru,2025-01-31,Regular
C0008,Customer 0008,Chennai,2025-11-29,Regular
C0009,Customer 0009,Kolkata,2024-01-19,Regular
C0010,Customer 0010,Pune,2024-06-25,Regular
C0011,Customer 0011,Hyderabad,2025-09-03,Regular
C0012,Customer 0012,Kolkata,2025-01-30,Regular
C0013,Customer 0013,Kolkata,2025-03-20,New
C0014,Customer 0014,Bengaluru,2024-08-20,Regular
C0015,Customer 0015,Noida,2024-03-16,Premium
C0016,Customer 0016,Pune,2024-09-21,Regular
C0017,Customer 0017,Mumbai,2025-03-30,Premium
C0018,Customer 0018,Kolkata,2026-03-06,Premium
C0019,Customer 0019,Noida,2025-12-18,Regular
C0020,Customer 0020,Mumbai,2026-01-04,Regular
C0021,Customer 0021,Pune,2025-01-18,Regular
C0022,Customer 0022,Delhi,2025-07-17,Regular
C0023,Customer 0023,Ahmedabad,2025-05-20,New
C0024,Customer 0024,Noida,2025-01-01,New
C0025,Customer 0025,Jaipur,2024-05-23,New
C0026,Customer 0026,Delhi,2024-03-09,Regular
C0027,Customer 0027,Ahmedabad,2024-04-08,Premium
C0028,Customer 0028,Bengaluru,2025-01-30,New
C0029,Customer 0029,Chennai,2024-01-25,Regular
C0030,Customer 0030,Hyderabad,2025-04-13,Regular
C0031,Customer 0031,Jaipur,2025-04-28,Premium
C0032,Customer 0032,Bengaluru,2025-07-18,Regular
C0033,Customer 0033,Pune,2024-05-30,New
C0034,Customer 0034,Bengaluru,2024-05-23,Regular
C0035,Customer 0035,Chennai,2025-07-22,Premium
C0036,Customer 0036,Pune,2024-02-08,Regular
C0037,Customer 0037,Jaipur,2024-04-18,Regular
C0038,Customer 0038,Chennai,2025-11-23,Regular
C0039,Customer 0039,Mumbai,2024-02-11,Premium
C0040,Customer 0040,Hyderabad,2024-07-04,Premium
C0041,Customer 0041,Jaipur,2025-02-01,Regular
C0042,Customer 0042,Mumbai,2024-08-10,Regular
C0043,Customer 0043,Ahmedabad,2025-09-25,New
C0044,Customer 0044,Jaipur,2024-05-12,Regular
C0045,Customer 0045,Ahmedabad,2024-06-11,Premium
C0046,Customer 0046,Pune,2024-08-02,Regular
C0047,Customer 0047,Mumbai,2026-01-02,Regular
C0048,Customer 0048,Hyderabad,2024-08-22,Regular
C0049,Customer 0049,Chennai,2026-04-22,Regular
C0050,Customer 0050,Kolkata,2025-10-19,Premium
C0051,Customer 0051,Bengaluru,2026-01-20,Regular
C0052,Customer 0052,Delhi,2025-08-10,Regular
C0053,Customer 0053,Hyderabad,2024-01-09,New
C0054,Customer 0054,Mumbai,2024-03-14,Regular
C0055,Customer 0055,Kolkata,2025-05-06,Regular
C0056,Customer 0056,Hyderabad,2024-09-09,New
C0057,Customer 0057,Mumbai,2024-08-17,Premium
C0058,Customer 0058,Noida,2025-06-02,Regular
C0059,Customer 0059,Noida,2024-06-22,New
C0060,Customer 0060,Ahmedabad,2025-10-14,Premium
C0061,Customer 0061,Hyderabad,2024-06-16,Regular
C0062,Customer 0062,Noida,2024-06-18,Regular
C0063,Customer 0063,Mumbai,2025-01-27,Premium
C0064,Customer 0064,Ahmedabad,2026-03-05,Premium
C0065,Customer 0065,Mumbai,2025-09-25,Regular
C0066,Customer 0066,Ahmedabad,2024-07-12,New
C0067,Customer 0067,Hyderabad,2025-05-31,Premium
C0068,Customer 0068,Kolkata,2024-01-29,Regular
C0069,Customer 0069,Chennai,2024-06-13,Regular
C0070,Customer 0070,Jaipur,2025-02-25,Regular
C0071,Customer 0071,Kolkata,2024-12-04,Premium
C0072,Customer 0072,Pune,2025-10-09,Regular
C0073,Customer 0073,Mumbai,2025-05-10,Regular
C0074,Customer 0074,Pune,2024-12-30,Premium
C0075,Customer 0075,Kolkata,2026-04-12,New
C0076,Customer 0076,Ahmedabad,2024-12-07,Regular
C0077,Customer 0077,Jaipur,2025-05-14,New
C0078,Customer 0078,Jaipur,2025-10-18,Regular
C0079,Customer 0079,Delhi,2025-05-25,New
C0080,Customer 0080,Jaipur,2024-11-22,Regular
C0081,Customer 0081,Chennai,2024-08-04,Regular
C0082,Customer 0082,Jaipur,2024-10-27,Premium
C0083,Customer 0083,Kolkata,2024-05-11,Regular
C0084,Customer 0084,Delhi,2026-03-14,Regular
C0085,Customer 0085,Kolkata,2024-03-10,Premium
C0086,Customer 0086,Kolkata,2024-09-08,Premium
C0087,Customer 0087,Bengaluru,2025-02-18,Premium
C0088,Customer 0088,Delhi,2026-02-25,Premium
C0089,Customer 0089,Kolkata,2025-03-20,Regular
C0090,Customer 0090,Bengaluru,2024-06-30,Regular
C0091,Customer 0091,Bengaluru,2024-06-15,Regular
C0092,Customer 0092,Delhi,2024-03-31,Regular
C0093,Customer 0093,Pune,2025-12-14,New
C0094,Customer 0094,Ahmedabad,2025-06-14,Regular
C0095,Customer 0095,Chennai,2024-02-08,Regular
C0096,Customer 0096,Ahmedabad,2024-05-05,Regular
C0097,Customer 0097,Jaipur,2025-03-26,New
C0098,Customer 0098,Chennai,2024-06-21,Regular
C0099,Customer 0099,Jaipur,2025-10-14,Regular
C0100,Customer 0100,Kolkata,2026-01-23,Regular
C0101,Customer 0101,Mumbai,2024-08-07,Regular
C0102,Customer 0102,Delhi,2025-09-29,Regular
C0103,Customer 0103,Chennai,2024-02-27,New
C0104,Customer 0104,Chennai,2025-10-21,New
C0105,Customer 0105,Kolkata,2025-04-20,Regular
C0106,Customer 0106,Pune,2025-03-31,Premium
C0107,Customer 0107,Bengaluru,2026-04-08,New
C0108,Customer 0108,Kolkata,2024-12-26,Premium
C0109,Customer 0109,Noida,2024-01-01,Regular
C0110,Customer 0110,Bengaluru,2025-01-21,Regular
C0111,Customer 0111,Delhi,2024-12-13,Regular
C0112,Customer 0112,Bengaluru,2024-07-08,Regular
C0113,Customer 0113,Pune,2025-05-19,Premium
C0114,Customer 0114,Bengaluru,2024-07-09,New
C0115,Customer 0115,Delhi,2025-05-22,New
C0116,Customer 0116,Pune,2025-01-03,Regular
C0117,Customer 0117,Ahmedabad,2025-02-12,Regular
C0118,Customer 0118,Chennai,2026-04-03,New
C0119,Customer 0119,Chennai,2024-04-26,New
C0120,Customer 0120,Jaipur,2024-05-13,Regular
C0121,Customer 0121,Ahmedabad,2024-02-27,New
C0122,Customer 0122,Ahmedabad,2025-07-09,New
C0123,Customer 0123,Bengaluru,2025-11-15,Regular
C0124,Customer 0124,Chennai,2025-11-02,Regular
C0125,Customer 0125,Delhi,2024-06-21,Regular
C0126,Customer 0126,Hyderabad,2026-04-08,Regular
C0127,Customer 0127,Hyderabad,2026-03-25,Regular
C0128,Customer 0128,Pune,2024-05-28,Premium
C0129,Customer 0129,Chennai,2024-03-20,Regular
C0130,Customer 0130,Chennai,2024-07-31,Regular
C0131,Customer 0131,Hyderabad,2024-07-21,Regular
C0132,Customer 0132,Chennai,2026-02-02,Regular
C0133,Customer 0133,Bengaluru,2024-08-16,New
C0134,Customer 0134,Noida,2025-11-06,Regular
C0135,Customer 0135,Mumbai,2024-08-14,Regular
C0136,Customer 0136,Ahmedabad,2025-10-20,Premium
C0137,Customer 0137,Jaipur,2025-06-15,Regular
C0138,Customer 0138,Pune,2025-03-16,Regular
C0139,Customer 0139,Noida,2025-02-05,Regular
C0140,Customer 0140,Hyderabad,2024-02-16,Regular
C0141,Customer 0141,Ahmedabad,2024-08-20,Regular
C0142,Customer 0142,Chennai,2024-10-31,Regular
C0143,Customer 0143,Jaipur,2025-06-09,Regular
C0144,Customer 0144,Chennai,2024-05-22,New
C0145,Customer 0145,Delhi,2025-02-18,Regular
C0146,Customer 0146,Delhi,2025-05-27,Regular
C0147,Customer 0147,Jaipur,2025-01-07,Premium
C0148,Customer 0148,Jaipur,2025-07-19,Regular
C0149,Customer 0149,Hyderabad,2024-09-15,Premium
C0150,Customer 0150,Jaipur,2025-10-17,Regular
C0151,Customer 0151,Bengaluru,2025-04-15,New
C0152,Customer 0152,Chennai,2024-01-12,Regular
C0153,Customer 0153,Noida,2024-11-25,Regular
C0154,Customer 0154,Kolkata,2026-01-05,Regular
C0155,Customer 0155,Jaipur,2026-02-22,New
C0156,Customer 0156,Pune,2024-12-23,Regular
C0157,Customer 0157,Delhi,2025-02-11,Regular
C0158,Customer 0158,Bengaluru,2025-10-29,Regular
C0159,Customer 0159,Ahmedabad,2025-01-07,Premium
C0160,Customer 0160,Kolkata,2024-01-08,Regular
C0161,Customer 0161,Noida,2024-05-01,New
C0162,Customer 0162,Kolkata,2024-12-13,Regular
C0163,Customer 0163,Jaipur,2025-11-06,Regular
C0164,Customer 0164,Hyderabad,2024-03-30,Regular
C0165,Customer 0165,Delhi,2025-10-09,Regular
C0166,Customer 0166,Delhi,2025-11-28,Regular
C0167,Customer 0167,Ahmedabad,2024-11-11,Regular
C0168,Customer 0168,Hyderabad,2024-06-26,Premium
C0169,Customer 0169,Chennai,2025-06-23,Regular
C0170,Customer 0170,Mumbai,2026-01-01,Regular
C0171,Customer 0171,Bengaluru,2024-02-10,Regular
C0172,Customer 0172,Delhi,2026-01-09,Regular
C0173,Customer 0173,Pune,2025-12-04,Regular
C0174,Customer 0174,Delhi,2025-05-16,Regular
C0175,Customer 0175,Kolkata,2024-05-24,Regular
C0176,Customer 0176,Delhi,2024-07-19,New
C0177,Customer 0177,Delhi,2025-12-24,New
C0178,Customer 0178,Mumbai,2025-04-05,Regular
C0179,Customer 0179,Mumbai,2026-01-01,Regular
C0180,Customer 0180,Noida,2026-01-21,Premium
C0181,Customer 0181,Chennai,2025-07-11,Regular
C0182,Customer 0182,Pune,2025-06-30,Regular
C0183,Customer 0183,Delhi,2024-09-09,Regular
C0184,Customer 0184,Delhi,2025-01-24,Premium
C0185,Customer 0185,Bengaluru,2025-08-16,Premium
C0186,Customer 0186,Mumbai,2024-09-12,Regular
C0187,Customer 0187,Pune,2025-12-09,Regular
C0188,Customer 0188,Ahmedabad,2026-03-25,Regular
C0189,Customer 0189,Noida,2025-03-25,Premium
C0190,Customer 0190,Chennai,2024-01-10,Regular
C0191,Customer 0191,Hyderabad,2026-04-03,Regular
C0192,Customer 0192,Chennai,2026-03-08,Premium
C0193,Customer 0193,Kolkata,2024-08-29,Regular
C0194,Customer 0194,Delhi,2024-09-07,Premium
C0195,Customer 0195,Noida,2024-01-05,Regular
C0196,Customer 0196,Kolkata,2024-04-28,Regular
C0197,Customer 0197,Pune,2026-03-11,Regular
C0198,Customer 0198,Hyderabad,2025-01-08,Premium
C0199,Customer 0199,Mumbai,2024-03-05,New
C0200,Customer 0200,Noida,2024-05-25,New
C0201,Customer 0201,Noida,2024-08-11,Regular
C0202,Customer 0202,Delhi,2024-08-26,Premium
C0203,Customer 0203,Jaipur,2024-06-25,Regular
C0204,Customer 0204,Noida,2026-02-17,Regular
C0205,Customer 0205,Bengaluru,2024-10-08,New
C0206,Customer 0206,Hyderabad,2024-03-03,Regular
C0207,Customer 0207,Hyderabad,2024-08-04,Regular
C0208,Customer 0208,Bengaluru,2026-04-06,Regular
C0209,Customer 0209,Ahmedabad,2026-03-05,Regular
C0210,Customer 0210,Bengaluru,2025-11-19,Regular
C0211,Customer 0211,Bengaluru,2025-04-05,Regular
C0212,Customer 0212,Hyderabad,2025-09-01,Regular
C0213,Customer 0213,Chennai,2024-04-14,New
C0214,Customer 0214,Hyderabad,2024-04-08,Premium
C0215,Customer 0215,Jaipur,2025-05-25,Regular
C0216,Customer 0216,Delhi,2025-01-19,Regular
C0217,Customer 0217,Kolkata,2025-02-08,Regular
C0218,Customer 0218,Chennai,2026-04-02,Regular
C0219,Customer 0219,Mumbai,2025-06-01,Regular
C0220,Customer 0220,Kolkata,2025-04-20,Premium
C0221,Customer 0221,Delhi,2025-12-09,Regular
C0222,Customer 0222,Jaipur,2025-10-06,Regular
C0223,Customer 0223,Jaipur,2026-02-09,Regular
C0224,Customer 0224,Mumbai,2025-03-12,Regular
C0225,Customer 0225,Chennai,2024-01-23,New
C0226,Customer 0226,Ahmedabad,2025-07-18,Premium
C0227,Customer 0227,Bengaluru,2025-11-07,Regular
C0228,Customer 0228,Chennai,2025-12-14,New
C0229,Customer 0229,Ahmedabad,2025-04-02,Regular
C0230,Customer 0230,Jaipur,2024-03-23,New
C0231,Customer 0231,Hyderabad,2024-05-24,Premium
C0232,Customer 0232,Delhi,2024-03-25,Regular
C0233,Customer 0233,Mumbai,2024-03-18,Regular
C0234,Customer 0234,Delhi,2025-04-01,Regular
C0235,Customer 0235,Pune,2024-01-01,Regular
C0236,Customer 0236,Pune,2024-02-20,Premium
C0237,Customer 0237,Chennai,2025-11-15,Regular
C0238,Customer 0238,Jaipur,2025-12-17,Regular
C0239,Customer 0239,Jaipur,2026-02-10,New
C0240,Customer 0240,Bengaluru,2025-03-21,New
C0241,Customer 0241,Bengaluru,2025-03-24,Regular
C0242,Customer 0242,Bengaluru,2025-05-02,Regular
C0243,Customer 0243,Hyderabad,2026-03-10,Regular
C0244,Customer 0244,Kolkata,2024-02-03,Regular
C0245,Customer 0245,Noida,2024-12-13,New
C0246,Customer 0246,Kolkata,2024-04-04,Regular
C0247,Customer 0247,Delhi,2024-03-12,Regular
C0248,Customer 0248,Kolkata,2025-07-04,Regular
C0249,Customer 0249,Hyderabad,2024-06-02,Regular
C0250,Customer 0250,Delhi,2024-09-06,Premium
C0251,Customer 0251,Kolkata,2025-11-04,New
C0252,Customer 0252,Hyderabad,2025-03-13,Regular
C0253,Customer 0253,Noida,2024-04-27,Regular
C0254,Customer 0254,Kolkata,2026-02-09,Regular
C0255,Customer 0255,Hyderabad,2024-11-01,New
C0256,Customer 0256,Bengaluru,2024-09-24,New
C0257,Customer 0257,Jaipur,2024-02-23,Regular
C0258,Customer 0258,Bengaluru,2024-08-23,Regular
C0259,Customer 0259,Jaipur,2025-01-23,Premium
C0260,Customer 0260,Mumbai,2026-01-03,Regular
C0261,Customer 0261,Mumbai,2026-02-01,New
C0262,Customer 0262,Mumbai,2026-04-04,Regular
C0263,Customer 0263,Noida,2025-02-04,Regular
C0264,Customer 0264,Bengaluru,2025-09-15,Regular
C0265,Customer 0265,Jaipur,2026-02-05,Regular
C0266,Customer 0266,Hyderabad,2024-10-29,Regular
C0267,Customer 0267,Delhi,2024-07-25,Premium
C0268,Customer 0268,Hyderabad,2024-08-16,Regular
C0269,Customer 0269,Delhi,2025-07-31,Regular
C0270,Customer 0270,Pune,2024-03-15,Regular
C0271,Customer 0271,Hyderabad,2025-03-10,Regular
C0272,Customer 0272,Kolkata,2024-04-12,Regular
C0273,Customer 0273,Kolkata,2025-02-25,Regular
C0274,Customer 0274,Chennai,2025-12-04,Premium
C0275,Customer 0275,Bengaluru,2026-02-02,Regular
C0276,Customer 0276,Delhi,2026-01-07,Regular
C0277,Customer 0277,Delhi,2026-03-16,Regular
C0278,Customer 0278,Bengaluru,2024-11-01,Premium
C0279,Customer 0279,Noida,2024-04-07,New
C0280,Customer 0280,Chennai,2026-04-29,Premium
C0281,Customer 0281,Noida,2026-03-08,Regular
C0282,Customer 0282,Noida,2024-11-30,Regular
C0283,Customer 0283,Noida,2025-03-10,Regular
C0284,Customer 0284,Bengaluru,2025-03-22,Regular
C0285,Customer 0285,Noida,2024-11-03,Regular
C0286,Customer 0286,Kolkata,2024-09-05,Regular
C0287,Customer 0287,Mumbai,2024-06-14,Regular
C0288,Customer 0288,Pune,2025-04-25,Regular
C0289,Customer 0289,Delhi,2024-11-30,Premium
C0290,Customer 0290,Delhi,2025-06-25,Regular
C0291,Customer 0291,Pune,2026-01-28,Regular
C0292,Customer 0292,Bengaluru,2024-04-15,Premium
C0293,Customer 0293,Hyderabad,2025-07-16,Regular
C0294,Customer 0294,Bengaluru,2024-03-21,Premium
C0295,Customer 0295,Delhi,2024-05-12,Regular
C0296,Customer 0296,Delhi,2026-03-07,Regular
C0297,Customer 0297,Pune,2024-05-17,Premium
C0298,Customer 0298,Noida,2024-07-02,Premium
C0299,Customer 0299,Bengaluru,2025-02-04,Premium
C0300,Customer 0300,Jaipur,2024-11-25,Regular
C0301,Customer 0301,Pune,2026-02-23,Regular
C0302,Customer 0302,Kolkata,2025-05-22,Regular
C0303,Customer 0303,Delhi,2024-03-09,Regular
C0304,Customer 0304,Pune,2025-06-29,New
C0305,Customer 0305,Bengaluru,2026-02-12,Regular
C0306,Customer 0306,Delhi,2024-02-22,New
C0307,Customer 0307,Hyderabad,2025-03-25,Regular
C0308,Customer 0308,Pune,2024-07-23,Regular
C0309,Customer 0309,Chennai,2024-05-05,Regular
C0310,Customer 0310,Delhi,2026-01-16,New
C0311,Customer 0311,Bengaluru,2024-02-12,Premium
C0312,Customer 0312,Mumbai,2026-01-21,Premium
C0313,Customer 0313,Jaipur,2024-04-20,Premium
C0314,Customer 0314,Ahmedabad,2026-01-30,Premium
C0315,Customer 0315,Noida,2025-10-24,New
C0316,Customer 0316,Ahmedabad,2024-07-01,Regular
C0317,Customer 0317,Bengaluru,2026-04-27,Regular
C0318,Customer 0318,Kolkata,2024-04-04,Regular
C0319,Customer 0319,Kolkata,2025-01-08,New
C0320,Customer 0320,Mumbai,2025-06-03,New
C0321,Customer 0321,Noida,2024-12-25,Regular
C0322,Customer 0322,Chennai,2025-11-26,Premium
C0323,Customer 0323,Mumbai,2024-10-07,New
C0324,Customer 0324,Ahmedabad,2024-07-13,Regular
C0325,Customer 0325,Mumbai,2024-07-13,Regular
C0326,Customer 0326,Ahmedabad,2025-10-28,New
C0327,Customer 0327,Delhi,2024-04-02,Regular
C0328,Customer 0328,Kolkata,2025-11-02,Premium
C0329,Customer 0329,Delhi,2024-03-01,Regular
C0330,Customer 0330,Jaipur,2025-09-25,New
C0331,Customer 0331,Noida,2024-02-20,New
C0332,Customer 0332,Chennai,2025-02-06,New
C0333,Customer 0333,Ahmedabad,2026-02-27,Regular
C0334,Customer 0334,Chennai,2024-01-05,New
C0335,Customer 0335,Ahmedabad,2025-04-10,New
C0336,Customer 0336,Bengaluru,2025-08-26,Regular
C0337,Customer 0337,Mumbai,2025-11-12,New
C0338,Customer 0338,Jaipur,2026-04-08,Regular
C0339,Customer 0339,Kolkata,2025-06-17,Regular
C0340,Customer 0340,Ahmedabad,2025-02-08,Regular
C0341,Customer 0341,Chennai,2026-04-17,Regular
C0342,Customer 0342,Jaipur,2025-05-27,Regular
C0343,Customer 0343,Hyderabad,2025-10-06,Premium
C0344,Customer 0344,Hyderabad,2024-08-20,Regular
C0345,Customer 0345,Delhi,2025-06-07,Premium
C0346,Customer 0346,Kolkata,2024-12-11,Regular
C0347,Customer 0347,Bengaluru,2024-02-15,Regular
C0348,Customer 0348,Chennai,2025-06-29,Regular
C0349,Customer 0349,Mumbai,2024-03-18,Premium
C0350,Customer 0350,Mumbai,2025-12-30,Regular
C0351,Customer 0351,Chennai,2026-03-23,Premium
C0352,Customer 0352,Noida,2024-03-13,New
C0353,Customer 0353,Bengaluru,2026-03-04,Regular
C0354,Customer 0354,Jaipur,2024-09-05,Regular
C0355,Customer 0355,Ahmedabad,2024-02-16,Regular
C0356,Customer 0356,Noida,2024-04-30,New
C0357,Customer 0357,Ahmedabad,2024-08-01,Regular
C0358,Customer 0358,Ahmedabad,2024-08-26,New
C0359,Customer 0359,Noida,2024-02-25,Regular
C0360,Customer 0360,Delhi,2024-12-15,New
C0361,Customer 0361,Hyderabad,2024-04-16,Premium
C0362,Customer 0362,Ahmedabad,2026-04-10,New
C0363,Customer 0363,Noida,2024-02-17,Regular
C0364,Customer 0364,Noida,2025-07-26,Premium
C0365,Customer 0365,Pune,2024-12-02,Regular
C0366,Customer 0366,Delhi,2024-01-26,Regular
C0367,Customer 0367,Kolkata,2026-03-14,Premium
C0368,Customer 0368,Pune,2024-09-13,New
C0369,Customer 0369,Pune,2024-01-08,New
C0370,Customer 0370,Chennai,2025-09-16,Premium
C0371,Customer 0371,Hyderabad,2024-09-09,Regular
C0372,Customer 0372,Noida,2025-11-22,Regular
C0373,Customer 0373,Hyderabad,2025-12-19,Premium
C0374,Customer 0374,Bengaluru,2024-10-29,Regular
C0375,Customer 0375,Chennai,2025-09-30,Regular
C0376,Customer 0376,Kolkata,2024-02-25,Regular
C0377,Customer 0377,Hyderabad,2025-12-26,Regular
C0378,Customer 0378,Mumbai,2025-06-09,Regular
C0379,Customer 0379,Ahmedabad,2025-04-18,Regular
C0380,Customer 0380,Bengaluru,2024-01-28,Regular
C0381,Customer 0381,Delhi,2024-03-18,Regular
C0382,Customer 0382,Kolkata,2024-08-03,New
C0383,Customer 0383,Bengaluru,2025-01-20,Regular
C0384,Customer 0384,Ahmedabad,2024-12-30,Regular
C0385,Customer 0385,Chennai,2025-10-27,Premium
C0386,Customer 0386,Ahmedabad,2025-06-09,Regular
C0387,Customer 0387,Pune,2025-11-29,New
C0388,Customer 0388,Ahmedabad,2024-11-07,Premium
C0389,Customer 0389,Pune,2024-01-07,Regular
C0390,Customer 0390,Chennai,2024-01-03,Regular
C0391,Customer 0391,Jaipur,2025-09-14,New
C0392,Customer 0392,Pune,2026-01-19,New
C0393,Customer 0393,Delhi,2024-12-28,Regular
C0394,Customer 0394,Ahmedabad,2026-01-20,Regular
C0395,Customer 0395,Ahmedabad,2025-05-22,Regular
C0396,Customer 0396,Delhi,2024-09-30,New
C0397,Customer 0397,Mumbai,2025-05-20,Regular
C0398,Customer 0398,Noida,2026-03-16,New
C0399,Customer 0399,Jaipur,2026-01-08,Premium
C0400,Customer 0400,Kolkata,2024-01-15,Regular
C0401,Customer 0401,Pune,2024-07-10,Regular
C0402,Customer 0402,Delhi,2025-09-22,Regular
