order_id,customer_id,order_date,product_id,quantity,discount_pct,sales,status,payment_method
O000001,C0245,2026-04-19,P008,1,5,1899.05,Delivered,COD
O000002,C0022,2025-04-30,P007,4,10,5036.4,Delivered,UPI
O000003,C0291,2025-07-29,P012,1,15,509.15,Cancelled,UPI
O000004,C0485,2025-11-02,P009,1,5,1709.05,Shipped,Card
O000005,C0272,2025-09-27,P011,1,15,679.15,Delivered,Net Banking
O000006,C0306,2025-10-12,P009,3,0,5397.0,Delivered,UPI
O000007,C0122,2025-08-15,P006,4,15,30596.6,Delivered,UPI
O000008,C0128,2026-01-16,P007,2,10,2518.2,Delivered,Card
O000009,C0113,2026-04-05,P002,1,0,1299.0,Delivered,Card
O000010,C0427,2025-01-07,P009,4,5,6836.2,Shipped,COD
O000011,C0273,2025-01-29,P012,4,20,1916.8,Delivered,Card
O000012,C0336,2025-02-02,P001,2,15,4248.3,Delivered,Net Banking
O000013,C0442,2025-03-20,P001,1,10,2249.1,Delivered,COD
O000014,C0130,2026-04-04,P003,3,0,2997.0,Delivered,UPI
O000015,C0132,2026-07-24,P012,4,5,2276.2,Delivered,Card
O000016,C0085,2026-06-22,P006,2,5,17098.1,Delivered,Card
O000017,C0423,2026-04-27,P005,3,0,10497.0,Delivered,Net Banking
O000018,C0482,2026-03-06,P002,4,10,4676.4,Delivered,UPI
O000019,C0350,2025-10-12,P009,1,15,1529.15,Delivered,UPI
O000020,C0390,2026-05-31,P010,4,10,8276.4,Delivered,UPI
O000021,C0081,2025-04-09,P004,3,0,4797.0,Delivered,Card
O000022,C0487,2026-02-01,P004,3,10,4317.3,Delivered,UPI
O000023,C0473,2026-05-04,P005,1,20,2799.2,Cancelled,Card
O000024,C0325,2025-02-08,P008,1,10,1799.1,Delivered,COD
O000025,C0069,2025-09-28,P010,2,10,4138.2,Delivered,Card
O000026,C0148,2025-06-06,P004,1,20,1279.2,Delivered,Card
O000027,C0448,2025-03-16,P005,2,15,5948.3,Delivered,COD
O000028,C0016,2025-05-10,P012,3,0,1797.0,Delivered,Card
O000029,C0307,2025-03-25,P004,3,5,4557.15,Delivered,UPI
O000030,C0105,2025-01-22,P006,4,20,28796.8,Delivered,UPI
O000031,C0165,2026-04-04,P012,4,5,2276.2,Delivered,Card
O000032,C0488,2026-06-23,P003,2,0,1998.0,Delivered,UPI
O000033,C0201,2026-01-17,P008,1,5,1899.05,Delivered,Card
O000034,C0197,2026-03-16,P006,1,10,8099.1,Shipped,Net Banking
O000035,C0426,2025-01-21,P010,4,20,7356.8,Delivered,Card
O000036,C0185,2025-10-30,P005,3,5,9972.15,Delivered,UPI
O000037,C0322,2025-03-25,P002,2,10,2338.2,Delivered,UPI
O000038,C0265,2026-03-29,P010,3,15,5862.45,Shipped,Net Banking
