order_id,customer_id,payment_date,amount,payment_method,payment_status,transaction_id
O000001,C0245,2026-04-19,1899.05,COD,Paid,TXN0000001
O000002,C0022,2025-04-30,5036.4,UPI,Paid,TXN0000002
O000003,C0291,2025-07-29,509.15,UPI,Failed,TXN0000003
O000004,C0485,2025-11-02,1709.05,Card,Paid,TXN0000004
O000005,C0272,2025-09-27,679.15,Net Banking,Paid,TXN0000005
O000006,C0306,2025-10-12,5397.0,UPI,Paid,TXN0000006
O000007,C0122,2025-08-15,30596.6,UPI,Paid,TXN0000007
O000008,C0128,2026-01-16,2518.2,Card,Paid,TXN0000008
O000009,C0113,2026-04-05,1299.0,Card,Paid,TXN0000009
O000010,C0427,2025-01-07,6836.2,COD,Paid,TXN0000010
O000011,C0273,2025-01-29,1916.8,Card,Paid,TXN0000011
O000012,C0336,2025-02-02,4248.3,Net Banking,Paid,TXN0000012
O000013,C0442,2025-03-20,2249.1,COD,Paid,TXN0000013
O000014,C0130,2026-04-04,2997.0,UPI,Paid,TXN0000014
O000015,C0132,2026-07-24,2276.2,Card,Paid,TXN0000015
O000016,C0085,2026-06-22,17098.1,Card,Paid,TXN0000016
O000017,C0423,2026-04-27,10497.0,Net Banking,Paid,TXN0000017
O000018,C0482,2026-03-06,4676.4,UPI,Paid,TXN0000018
O000019,C0350,2025-10-12,1529.15,UPI,Pending,TXN0000019
O000020,C0390,2026-05-31,8276.4,UPI,Paid,TXN0000020
O000021,C0081,2025-04-09,4797.0,Card,Paid,TXN0000021
O000022,C0487,2026-02-01,4317.3,UPI,Paid,TXN0000022
O000023,C0473,2026-05-04,2799.2,Card,Failed,TXN0000023
O000024,C0325,2025-02-08,1799.1,COD,Paid,TXN0000024
O000025,C0069,2025-09-28,4138.2,Card,Paid,TXN0000025
O000026,C0148,2025-06-06,1279.2,Card,Paid,TXN0000026
O000027,C0448,2025-03-16,5948.3,COD,Paid,TXN0000027
O000028,C0016,2025-05-10,1797.0,Card,Paid,TXN0000028
O000029,C0307,2025-03-25,4557.15,UPI,Paid,TXN0000029
O000030,C0105,2025-01-22,28796.8,UPI,Paid,TXN0000030
O000031,C0165,2026-04-04,2276.2,Card,Paid,TXN0000031
O000032,C0488,2026-06-23,1998.0,UPI,Paid,TXN0000032
O000033,C0201,2026-01-17,1899.05,Card,Paid,TXN0000033
O000034,C0197,2026-03-16,8099.1,Net Banking,Paid,TXN0000034
O000035,C0426,2025-01-21,7356.8,Card,Paid,TXN0000035
O000036,C0185,2025-10-30,9972.15,UPI,Paid,TXN0000036
O000037,C0322,2025-03-25,2338.2,UPI,Paid,TXN0000037
O000038,C0265,2026-03-29,5862.45,Net Banking,Paid,TXN0000038
O000039,C0363,2026-01-22,6552.15,COD,Paid,TXN0000039
O000040,C0100,2026-05-22,1399.0,Card,Paid,TXN0000040
O000041,C0342,2025-09-14,2078.4,UPI,Paid,TXN0000041
O000042,C0320,2026-07-24,7122.15,Card,Paid,TXN0000042
O000043,C0214,2026-06-11,5036.4,UPI,Paid,TXN0000043
O000044,C0278,2025-06-11,12596.4,UPI,Paid,TXN0000044
O000045,C0162,2025-06-12,2499.0,UPI,Paid,TXN0000045
O000046,C0439,2026-06-08,5116.8,Card,Paid,TXN0000046
O000047,C0157,2025-09-28,2276.2,UPI,Paid,TXN0000047
O000048,C0422,2026-05-07,4557.15,UPI,Paid,TXN0000048
O000049,C0251,2025-07-27,9196.0,UPI,Paid,TXN0000049
O000050,C0366,2026-06-23,5316.2,Card,Paid,TXN0000050
O000051,C0097,2026-08-07,4587.45,Card,Paid,TXN0000051
O000052,C0018,2025-03-01,1104.15,UPI,Paid,TXN0000052
O000053,C0327,2026-03-06,479.2,Net Banking,Paid,TXN0000053
O000054,C0449,2025-11-05,4748.1,UPI,Paid,TXN0000054
O000055,C0383,2026-06-04,4676.4,UPI,Paid,TXN0000055
O000056,C0097,2025-01-27,3777.3,UPI,Paid,TXN0000056
O000057,C0001,2026-07-16,3908.3,Card,Pending,TXN0000057
O000058,C0216,2025-07-18,8099.1,UPI,Failed,TXN0000058
O000059,C0132,2026-01-22,1519.05,UPI,Paid,TXN0000059
