ticket_id,customer_id,ticket_date,issue_type,priority,resolution_hours,status
T00001,C0105,2025-12-07,Damaged Product,High,13.1,Resolved
T00002,C0369,2025-02-28,Payment Failure,Medium,30.6,Resolved
T00003,C0460,2026-06-22,Product Query,Medium,13.9,Resolved
T00004,C0247,2026-04-23,Wrong Product,Medium,22.6,Resolved
T00005,C0264,2025-04-13,Refund,Medium,12.6,Resolved
T00006,C0206,2026-06-17,Wrong Product,Medium,17.3,Resolved
T00007,C0018,2025-11-18,Damaged Product,High,6.7,Open
T00008,C0364,2026-07-03,Product Query,Medium,29.3,Resolved
T00009,C0251,2025-01-14,Wrong Product,High,23.5,Resolved
T00010,C0238,2026-04-01,Refund,Medium,4.9,Resolved
T00011,C0340,2025-08-09,Product Query,High,14.0,Open
T00012,C0407,2026-01-26,Refund,Low,33.2,Resolved
T00013,C0453,2025-06-22,Product Query,Low,8.3,Resolved
T00014,C0321,2025-03-22,Payment Failure,Medium,8.6,Open
T00015,C0365,2025-12-02,Damaged Product,Low,15.2,Resolved
T00016,C0302,2025-08-13,Payment Failure,Low,10.7,Resolved
T00017,C0066,2025-02-04,Late Delivery,Low,48.8,Resolved
T00018,C0336,2025-07-07,Refund,Medium,10.7,Open
T00019,C0453,2025-08-12,Payment Failure,High,11.9,Resolved
T00020,C0150,2026-05-09,Refund,Medium,1.4,Resolved
T00021,C0193,2025-11-07,Product Query,High,14.8,Resolved
T00022,C0396,2026-06-05,Refund,Medium,30.3,Resolved
T00023,C0147,2026-08-04,Late Delivery,Low,28.6,Escalated
T00024,C0406,2026-06-24,Refund,Low,29.5,Resolved
T00025,C0183,2026-01-04,Product Query,Medium,27.1,Resolved
T00026,C0106,2026-04-20,Product Query,Low,54.7,Escalated
T00027,C0236,2025-01-31,Payment Failure,Low,22.2,Resolved
T00028,C0126,2025-08-20,Damaged Product,Medium,11.7,Resolved
T00029,C0446,2026-05-12,Wrong Product,Medium,12.4,Resolved
T00030,C0179,2026-07-20,Payment Failure,Medium,14.3,Resolved
T00031,C0432,2025-06-24,Late Delivery,High,9.8,Resolved
T00032,C0401,2025-10-25,Wrong Product,Medium,23.7,Resolved
T00033,C0013,2025-12-31,Refund,Medium,31.6,Resolved
T00034,C0231,2025-03-27,Payment Failure,High,13.0,Resolved
T00035,C0028,2026-07-31,Wrong Product,Low,38.0,Resolved
T00036,C0379,2025-03-30,Payment Failure,Medium,6.6,Resolved
T00037,C0323,2025-02-23,Refund,High,2.8,Resolved
T00038,C0261,2025-12-27,Product Query,Medium,12.6,Resolved
T00039,C0100,2026-04-21,Payment Failure,Medium,3.2,Resolved
T00040,C0188,2025-08-17,Late Delivery,Medium,9.0,Escalated
T00041,C0399,2026-06-18,Wrong Product,Medium,20.3,Open
T00042,C0337,2026-01-08,Wrong Product,Low,4.4,Resolved
T00043,C0300,2026-04-14,Wrong Product,High,19.1,Escalated
T00044,C0119,2026-02-24,Payment Failure,High,10.9,Escalated
T00045,C0046,2026-06-16,Refund,High,26.9,Resolved
T00046,C0413,2026-02-04,Payment Failure,Medium,5.2,Resolved
T00047,C0068,2025-07-03,Payment Failure,Low,10.9,Escalated
T00048,C0384,2026-07-16,Product Query,Low,9.6,Resolved
T00049,C0480,2025-03-31,Wrong Product,High,20.4,Resolved
T00050,C0305,2026-01-18,Refund,Medium,11.8,Resolved
T00051,C0171,2026-01-04,Damaged Product,Low,26.5,Resolved
T00052,C0358,2025-03-15,Refund,Medium,20.8,Resolved
T00053,C0196,2025-09-26,Payment Failure,Medium,17.4,Resolved
T00054,C0333,2025-01-15,Late Delivery,Medium,14.6,Resolved
T00055,C0020,2025-11-25,Refund,Medium,50.9,Resolved
T00056,C0111,2026-01-27,Wrong Product,Medium,19.0,Open
T00057,C0146,2026-03-10,Late Delivery,High,23.1,Resolved
T00058,C0192,2025-12-10,Damaged Product,Low,22.8,Resolved
T00059,C0433,2025-07-14,Damaged Product,Low,11.9,Resolved
T00060,C0371,2025-02-05,Late Delivery,Medium,2.8,Resolved
T00061,C0426,2025-07-24,Damaged Product,High,48.3,Escalated
T00062,C0229,2025-02-26,Late Delivery,Medium,13.2,Resolved
T00063,C0012,2025-04-20,Payment Failure,Medium,22.3,Resolved
T00064,C0217,2026-05-11,Late Delivery,Medium,50.1,Resolved
T00065,C0478,2025-08-13,Payment Failure,Medium,12.2,Resolved
T00066,C0079,2026-01-21,Wrong Product,High,15.3,Resolved
T00067,C0375,2025-03-05,Wrong Product,High,39.5,Resolved
T00068,C0036,2025-12-18,Damaged Product,Medium,11.3,Resolved
T00069,C0264,2026-04-08,Product Query,Medium,7.1,Resolved
T00070,C0028,2025-11-16,Product Query,Low,4.2,Open
T00071,C0372,2025-12-23,Late Delivery,Medium,80.1,Resolved
T00072,C0086,2025-04-03,Payment Failure,Medium,46.4,Resolved
T00073,C0188,2025-10-27,Wrong Product,Medium,1.6,Resolved
T00074,C0305,2026-05-09,Wrong Product,Low,29.6,Open
T00075,C0254,2026-01-24,Wrong Product,High,49.0,Resolved
T00076,C0422,2026-03-10,Damaged Product,Medium,17.4,Escalated
T00077,C0080,2025-04-12,Wrong Product,Medium,13.6,Resolved
T00078,C0186,2026-01-13,Product Query,Low,14.3,Resolved
T00079,C0005,2026-08-06,Refund,Medium,44.4,Resolved
T00080,C0046,2025-12-04,Damaged Product,High,9.2,Resolved
T00081,C0354,2026-05-07,Late Delivery,Medium,9.4,Resolved
T00082,C0497,2025-03-01,Refund,Medium,9.3,Resolved
T00083,C0102,2026-05-24,Damaged Product,Low,1.0,Resolved
T00084,C0459,2026-01-27,Damaged Product,Medium,14.0,Open
